"","Overs","Mdns","Runs","Wkts","Econ","Ave","SR","Opposition","Ground","Start Date","Match_ID","Bowler","Player_ID"
"144","8.0","0","49","1","6.12","49.00","48.0","v Canada","King City (NW)","22 Aug 2008","ODI # 2749","Kemar Roach",230553
"145","10.0","0","44","5","4.40","8.80","12.0","v Bangladesh","Roseau","26 Jul 2009","ODI # 2862","Kemar Roach",230553
"146","7.5","0","55","1","7.02","55.00","47.0","v Bangladesh","Roseau","28 Jul 2009","ODI # 2863","Kemar Roach",230553
"147","9.5","1","63","4","6.40","15.75","14.7","v Bangladesh","Basseterre","31 Jul 2009","ODI # 2865","Kemar Roach",230553
"148","10.0","0","73","2","7.30","36.50","30.0","v Australia","Johannesburg","26 Sep 2009","ODI # 2897","Kemar Roach",230553
"149","6.0","1","27","1","4.50","27.00","36.0","v India","Johannesburg","30 Sep 2009","ODI # 2904","Kemar Roach",230553
"150","10.0","1","41","1","4.10","41.00","60.0","v Australia","Melbourne","7 Feb 2010","ODI # 2950","Kemar Roach",230553
"151","6.0","0","44","1","7.33","44.00","36.0","v Australia","Adelaide","9 Feb 2010","ODI # 2952","Kemar Roach",230553
"152","9.0","0","34","1","3.77","34.00","54.0","v Zimbabwe","Providence","4 Mar 2010","ODI # 2967","Kemar Roach",230553
"153","9.5","0","37","3","3.76","12.33","19.6","v Zimbabwe","Providence","6 Mar 2010","ODI # 2970","Kemar Roach",230553
"154","9.0","1","28","3","3.11","9.33","18.0","v Zimbabwe","Kingstown","10 Mar 2010","ODI # 2972","Kemar Roach",230553
"155","7.2","0","30","1","4.09","30.00","44.0","v Zimbabwe","Kingstown","12 Mar 2010","ODI # 2974","Kemar Roach",230553
"156","-","-","-","-","-","-","-","v Sri Lanka","Colombo (SSC)","31 Jan 2011","ODI # 3092","Kemar Roach",230553
"157","8.0","0","29","0","3.62","-","-","v Sri Lanka","Colombo (SSC)","3 Feb 2011","ODI # 3096","Kemar Roach",230553
"158","8.0","0","42","1","5.25","42.00","48.0","v South Africa","Delhi","24 Feb 2011","ODI # 3106","Kemar Roach",230553
"159","8.3","0","27","6","3.17","4.50","8.5","v Netherlands","Delhi","28 Feb 2011","ODI # 3112","Kemar Roach",230553
"160","6.0","0","19","3","3.16","6.33","12.0","v Bangladesh","Dhaka","4 Mar 2011","ODI # 3118","Kemar Roach",230553
"161","8.0","0","34","1","4.25","34.00","48.0","v Ireland","Mohali","11 Mar 2011","ODI # 3126","Kemar Roach",230553
"162","9.4","2","34","2","3.51","17.00","29.0","v England","Chennai","17 Mar 2011","ODI # 3135","Kemar Roach",230553
"163","5.5","0","39","0","6.68","-","-","v Pakistan","Dhaka","23 Mar 2011","ODI # 3142","Kemar Roach",230553
"164","9.3","0","58","0","6.10","-","-","v Pakistan","Gros Islet","23 Apr 2011","ODI # 3152","Kemar Roach",230553
"165","9.0","1","43","0","4.77","-","-","v Pakistan","Gros Islet","25 Apr 2011","ODI # 3153","Kemar Roach",230553
"166","9.0","0","36","0","4.00","-","-","v Pakistan","Bridgetown","28 Apr 2011","ODI # 3154","Kemar Roach",230553
"167","10.0","0","67","2","6.70","33.50","30.0","v Pakistan","Bridgetown","2 May 2011","ODI # 3155","Kemar Roach",230553
"168","8.2","0","46","0","5.52","-","-","v India","North Sound","11 Jun 2011","ODI # 3161","Kemar Roach",230553
"169","8.0","1","22","0","2.75","-","-","v India","North Sound","13 Jun 2011","ODI # 3162","Kemar Roach",230553
"170","10.0","0","52","2","5.20","26.00","30.0","v India","Kingston","16 Jun 2011","ODI # 3163","Kemar Roach",230553
"171","8.0","0","48","0","6.00","-","-","v Bangladesh","Dhaka","13 Oct 2011","ODI # 3198","Kemar Roach",230553
"172","10.0","1","49","3","4.90","16.33","20.0","v Bangladesh","Dhaka","15 Oct 2011","ODI # 3200","Kemar Roach",230553
"173","5.0","0","16","1","3.20","16.00","30.0","v Bangladesh","Chattogram","18 Oct 2011","ODI # 3202","Kemar Roach",230553
"174","10.0","0","46","3","4.60","15.33","20.0","v India","Cuttack","29 Nov 2011","ODI # 3217","Kemar Roach",230553
"175","10.0","0","40","2","4.00","20.00","30.0","v India","Visakhapatnam","2 Dec 2011","ODI # 3219","Kemar Roach",230553
"176","10.0","0","54","1","5.40","54.00","60.0","v India","Ahmedabad","5 Dec 2011","ODI # 3221","Kemar Roach",230553
"177","10.0","0","88","1","8.80","88.00","60.0","v India","Indore","8 Dec 2011","ODI # 3223","Kemar Roach",230553
"178","8.0","0","46","2","5.75","23.00","24.0","v India","Chennai","11 Dec 2011","ODI # 3224","Kemar Roach",230553
"179","10.0","1","33","2","3.30","16.50","30.0","v Australia","Kingstown","16 Mar 2012","ODI # 3262","Kemar Roach",230553
"180","8.0","3","23","2","2.87","11.50","24.0","v Australia","Kingstown","18 Mar 2012","ODI # 3264","Kemar Roach",230553
"181","10.0","0","42","2","4.20","21.00","30.0","v Australia","Kingstown","20 Mar 2012","ODI # 3266","Kemar Roach",230553
"182","9.3","0","74","2","7.78","37.00","28.5","v Australia","Gros Islet","23 Mar 2012","ODI # 3268","Kemar Roach",230553
"183","9.0","0","53","3","5.88","17.66","18.0","v Australia","Gros Islet","25 Mar 2012","ODI # 3269","Kemar Roach",230553
"184","7.0","0","48","0","6.85","-","-","v Bangladesh","Khulna","30 Nov 2012","ODI # 3309","Kemar Roach",230553
"185","8.0","0","29","2","3.62","14.50","24.0","v Bangladesh","Dhaka","7 Dec 2012","ODI # 3312","Kemar Roach",230553
"186","9.0","0","56","5","6.22","11.20","10.8","v Bangladesh","Dhaka","8 Dec 2012","ODI # 3313","Kemar Roach",230553
"187","2.0","0","29","0","14.50","-","-","v Australia","Perth","1 Feb 2013","ODI # 3330","Kemar Roach",230553
"188","10.0","0","51","1","5.10","51.00","60.0","v Australia","Perth","3 Feb 2013","ODI # 3331","Kemar Roach",230553
"189","9.0","1","72","1","8.00","72.00","54.0","v Australia","Canberra","6 Feb 2013","ODI # 3332","Kemar Roach",230553
"190","10.0","0","52","1","5.20","52.00","60.0","v Australia","Melbourne","10 Feb 2013","ODI # 3334","Kemar Roach",230553
"191","8.0","1","15","1","1.87","15.00","48.0","v Zimbabwe","St George's","22 Feb 2013","ODI # 3337","Kemar Roach",230553
"192","10.0","1","63","1","6.30","63.00","60.0","v Zimbabwe","St George's","24 Feb 2013","ODI # 3339","Kemar Roach",230553
"193","7.0","3","15","0","2.14","-","-","v Zimbabwe","St George's","26 Feb 2013","ODI # 3340","Kemar Roach",230553
"194","10.0","4","28","3","2.80","9.33","20.0","v Pakistan","The Oval","7 Jun 2013","ODI # 3364","Kemar Roach",230553
"195","6.0","0","47","0","7.83","-","-","v India","The Oval","11 Jun 2013","ODI # 3368","Kemar Roach",230553
"196","7.0","1","41","0","5.85","-","-","v Sri Lanka","Kingston","28 Jun 2013","ODI # 3378","Kemar Roach",230553
"197","10.0","2","41","2","4.10","20.50","30.0","v India","Kingston","30 Jun 2013","ODI # 3380","Kemar Roach",230553
"198","10.0","2","69","1","6.90","69.00","60.0","v India","Port of Spain","5 Jul 2013","ODI # 3383","Kemar Roach",230553
"199","8.0","2","27","4","3.37","6.75","12.0","v Sri Lanka","Port of Spain","7 Jul 2013","ODI # 3385","Kemar Roach",230553
"200","10.0","0","38","2","3.80","19.00","30.0","v Pakistan","Providence","14 Jul 2013","ODI # 3389","Kemar Roach",230553
"201","6.0","4","14","1","2.33","14.00","36.0","v Pakistan","Providence","16 Jul 2013","ODI # 3390","Kemar Roach",230553
"202","10.0","1","35","1","3.50","35.00","60.0","v Pakistan","Gros Islet","19 Jul 2013","ODI # 3391","Kemar Roach",230553
"203","6.0","1","33","1","5.50","33.00","36.0","v Pakistan","Gros Islet","21 Jul 2013","ODI # 3393","Kemar Roach",230553
"204","10.0","0","48","0","4.80","-","-","v Bangladesh","St George's","20 Aug 2014","ODI # 3509","Kemar Roach",230553
"205","6.0","2","19","3","3.16","6.33","12.0","v Bangladesh","St George's","22 Aug 2014","ODI # 3511","Kemar Roach",230553
"206","9.0","0","48","1","5.33","48.00","54.0","v Bangladesh","Basseterre","25 Aug 2014","ODI # 3514","Kemar Roach",230553
"207","6.0","0","52","0","8.66","-","-","v Ireland","Nelson","16 Feb 2015","ODI # 3603","Kemar Roach",230553
"208","8.0","1","44","1","5.50","44.00","48.0","v India","Perth","6 Mar 2015","ODI # 3625","Kemar Roach",230553
"209","8.0","0","54","0","6.75","-","-","v U.A.E.","Napier","15 Mar 2015","ODI # 3638","Kemar Roach",230553
"210","10.0","0","60","1","6.00","60.00","60.0","v U.A.E.","Harare","6 Mar 2018","ODI # 3987","Kemar Roach",230553
"211","10.0","3","27","4","2.70","6.75","15.0","v Ireland","Harare","10 Mar 2018","ODI # 3993","Kemar Roach",230553
"212","10.0","0","55","3","5.50","18.33","20.0","v Zimbabwe","Harare","19 Mar 2018","ODI # 4002","Kemar Roach",230553
"213","7.0","2","20","2","2.85","10.00","21.0","v Scotland","Harare","21 Mar 2018","ODI # 4004","Kemar Roach",230553
"214","5.0","0","24","0","4.80","-","-","v Afghanistan","Harare","25 Mar 2018","ODI # 4007","Kemar Roach",230553
"215","7.0","0","52","0","7.42","-","-","v India","Guwahati","21 Oct 2018","ODI # 4056","Kemar Roach",230553
"216","10.0","0","67","1","6.70","67.00","60.0","v India","Visakhapatnam","24 Oct 2018","ODI # 4059","Kemar Roach",230553
